Date,Open,High,Low,Close,Adj Close,Volume
2007-12-01,14.040000,14.440000,12.120000,12.200000,11.257012,100235300
2008-01-01,12.180000,12.770000,11.020000,11.720000,10.818049,219432800
2008-02-01,11.750000,13.100000,11.620000,12.260000,11.316494,153707400
2008-03-01,12.220000,13.010000,11.120000,12.400000,11.450134,166439700
2008-04-01,12.520000,13.500000,11.750000,13.240000,12.225789,175337000
2008-05-01,13.190000,13.660000,12.210000,13.060000,12.059578,141851300
2008-06-01,13.080000,14.890000,12.820000,13.040000,12.041107,233428800
2008-07-01,12.910000,16.090000,12.680000,15.590000,14.400846,242358200
2008-08-01,15.640000,16.490000,14.500000,15.230000,14.068307,235388100
2008-09-01,15.830000,16.770000,13.820000,14.510000,13.407756,261011800
2008-10-01,14.390000,14.970000,10.260000,11.780000,10.885133,303628700
2008-11-01,11.990000,12.190000,7.680000,8.650000,7.992905,222239000
2008-12-01,8.500000,9.100000,7.050000,8.620000,7.965183,223387600
2009-01-01,8.610000,9.950000,6.970000,7.030000,6.499617,266674500
2009-02-01,7.080000,7.480000,5.730000,5.890000,5.445623,248761600
2009-03-01,5.750000,6.580000,4.950000,6.330000,5.856968,248306900
2009-04-01,6.270000,7.750000,6.020000,6.980000,6.458393,237373300
2009-05-01,7.080000,7.700000,6.580000,6.740000,6.236328,154019400
2009-06-01,6.830000,7.220000,6.140000,6.730000,6.227077,184955700
2009-07-01,6.750000,7.890000,6.400000,7.850000,7.268654,195796100
2009-08-01,7.980000,9.340000,7.850000,8.180000,7.574217,212469300
2009-09-01,8.180000,10.200000,7.860000,9.600000,8.889055,177766300
2009-10-01,9.550000,10.100000,8.290000,8.400000,7.782683,214901300
2009-11-01,8.440000,9.550000,8.100000,9.200000,8.523889,166984600
2009-12-01,9.260000,11.780000,9.100000,11.430000,10.590003,218578300
2010-01-01,11.400000,11.970000,10.910000,11.330000,10.502553,203240500
2010-02-01,11.370000,12.730000,11.020000,12.580000,11.661265,201793800
2010-03-01,12.590000,13.420000,12.500000,13.220000,12.254522,200286300
2010-04-01,13.370000,13.970000,13.080000,13.180000,12.222254,221563100
2010-05-01,13.320000,13.450000,11.360000,12.440000,11.536026,215020300
2010-06-01,12.300000,12.770000,11.060000,11.110000,10.302672,169689500
2010-07-01,11.050000,12.390000,10.420000,12.050000,11.179018,160332400
2010-08-01,12.140000,12.320000,10.760000,11.050000,10.251301,108980500
2010-09-01,11.200000,14.160000,11.170000,13.070000,12.130778,147323900
2010-10-01,13.230000,13.950000,12.590000,13.760000,12.771195,124008800
2010-11-01,13.860000,14.320000,13.190000,13.320000,12.362815,95589500
2010-12-01,13.480000,13.610000,12.310000,12.980000,12.047246,120889800
2011-01-01,13.030000,13.590000,11.810000,11.850000,11.002678,129882100
2011-02-01,11.940000,12.580000,11.410000,11.830000,10.984107,170537800
2011-03-01,11.890000,12.880000,11.540000,12.630000,11.726908,194332900
2011-04-01,12.740000,12.870000,11.300000,11.750000,10.914444,189422000
2011-05-01,11.890000,12.440000,11.370000,11.830000,10.988751,221902500
2011-06-01,11.810000,11.920000,10.680000,11.420000,10.607907,190605100
2011-07-01,11.440000,11.650000,9.610000,9.960000,9.255737,141411400
2011-08-01,10.060000,10.170000,7.810000,8.620000,8.010487,329056100
2011-09-01,8.600000,8.980000,7.790000,8.040000,7.476259,235222800
2011-10-01,8.020000,9.280000,7.150000,8.550000,7.950500,211820400
2011-11-01,8.320000,8.630000,7.370000,8.380000,7.792419,182291100
2011-12-01,8.300000,8.710000,8.120000,8.560000,7.959799,140578300
2012-01-01,8.720000,9.780000,8.220000,9.580000,8.913542,122195700
2012-02-01,9.700000,10.050000,8.670000,8.980000,8.355279,101917800
